date,code,name,market,total_shares,foreign_shares,foreign_ratio
2025-09-11,5015,華祺,TPEX,60639189,3555720,0.0
2025-09-11,5016,松和,TPEX,49622076,204207,0.0
2025-09-11,5201,凱衛,TPEX,38674600,3726177,0.0
2025-09-11,5202,力新,TPEX,89094000,2697754,0.0
2025-09-11,5205,中茂,TPEX,13500000,1,0.0
2025-09-11,5206,坤悅,TPEX,171517500,10857536,0.0
2025-09-11,5209,新鼎,TPEX,28427103,728981,0.0
2025-09-11,5210,寶碩,TPEX,82177779,1268754,0.0
2025-09-11,5211,蒙恬,TPEX,32024727,2686543,0.0
2025-09-11,5212,凌網,TPEX,34633000,7566371,0.0
2025-09-11,5213,亞昕,TPEX,721334326,6903505,0.0
2025-09-11,5220,萬達光電,TPEX,39667000,83503,0.0
2025-09-11,5223,安力-KY,TPEX,44549781,18735353,0.0
2025-09-11,5227,立凱-KY,TPEX,68000000,7975205,0.0
2025-09-11,5228,鈺鎧,TPEX,38056253,21000,0.0
2025-09-11,5230,雷笛克光學,TPEX,55976730,475404,0.0
2025-09-11,5236,凌陽創新,TPEX,60004038,1989556,0.0
2025-09-11,5245,智晶,TPEX,43160000,1645914,0.0
2025-09-11,5251,天鉞電,TPEX,33733377,8655158,0.0
2025-09-11,5263,智崴,TPEX,70558088,10041402,0.0
2025-09-11,5272,笙科,TPEX,55276118,988103,0.0
2025-09-11,5274,信驊,TPEX,37802685,21784756,0.0
2025-09-11,5276,達輝-KY,TPEX,39500000,30413000,0.0
2025-09-11,5278,尚凡*,TPEX,300000000,4332730,0.0
2025-09-11,5287,數字,TPEX,60314050,11314783,0.0
2025-09-11,5289,宜鼎,TPEX,93507217,28808606,0.0
2025-09-11,5291,邑昇,TPEX,39890606,0,0.0
2025-09-11,5299,杰力,TPEX,50888981,705887,0.0
2025-09-11,5301,寶得利,TPEX,142752571,3718780,0.0
2025-09-11,5302,太欣,TPEX,159888349,330640,0.0
2025-09-11,5309,系統電,TPEX,191781375,6985486,0.0
2025-09-11,5310,天剛,TPEX,28943517,8000,0.0
2025-09-11,5312,寶島科,TPEX,60059898,5129233,0.0
2025-09-11,5314,世紀*,TPEX,292000000,25371660,0.0
2025-09-11,5315,光聯,TPEX,106351832,12263515,0.0
2025-09-11,5321,美而快,TPEX,53179802,975587,0.0
2025-09-11,5324,士開,TPEX,226379090,11731428,0.0
2025-09-11,5328,華容,TPEX,172710724,3179088,0.0
2025-09-11,5340,建榮,TPEX,194893964,97193740,0.0
2025-09-11,5344,立衛,TPEX,79447460,92333,0.0
2025-09-11,5345,馥鴻,TPEX,37795000,8976,0.0
2025-09-11,5347,世界,TPEX,1867392355,251401967,0.0
2025-09-11,5348,正能量智能,TPEX,14775917,3000,0.0
2025-09-11,5351,鈺創,TPEX,325595781,34163781,0.0
2025-09-11,5353,台林,TPEX,75500000,453015,0.0
2025-09-11,5355,佳總,TPEX,166122792,134015,0.0
2025-09-11,5356,協益,TPEX,103040000,4007770,0.0
2025-09-11,5364,力麗店,TPEX,63849940,284798,0.0
2025-09-11,5371,中光電,TPEX,390981110,41898868,0.0
2025-09-11,5381,合正,TPEX,244526837,1631204,0.0
2025-09-11,5386,青雲,TPEX,36080881,2093069,0.0
2025-09-11,5392,能率,TPEX,176562145,4700777,0.0
2025-09-11,5398,慕康生醫,TPEX,49465460,3136730,0.0
2025-09-11,5403,中菲,TPEX,76193090,4561006,0.0
2025-09-11,5410,國眾,TPEX,91324123,7980418,0.0
2025-09-11,5425,台半,TPEX,263485486,23535341,0.0
2025-09-11,5426,振發,TPEX,143800000,3481935,0.0
2025-09-11,5432,新門,TPEX,20687804,141259,0.0
2025-09-11,5438,東友,TPEX,112536565,1373472,0.0
2025-09-11,5439,高技,TPEX,92975752,23015003,0.0
2025-09-11,5443,均豪,TPEX,164496644,8639104,0.0
2025-09-11,5450,南良,TPEX,122403239,90532,0.0
2025-09-11,5452,佶優,TPEX,148763669,12197016,0.0
2025-09-11,5455,昇益,TPEX,65501813,54398,0.0
2025-09-11,5457,宣德,TPEX,174581500,56655236,0.0
2025-09-11,5460,同協,TPEX,58778130,683257,0.0
2025-09-11,5464,霖宏,TPEX,71071490,446155,0.0
2025-09-11,5465,富驊,TPEX,147682629,2835293,0.0
2025-09-11,5468,凱鈺,TPEX,58922909,58091,0.0
2025-09-11,5474,聰泰,TPEX,39756944,997031,0.0
2025-09-11,5475,德宏,TPEX,127127017,6078252,0.0
2025-09-11,5478,智冠,TPEX,156074332,30585197,0.0
2025-09-11,5481,新華,TPEX,71402891,18335222,0.0
